title,thumbnail,link,viewcount,age
MEGA MOCK TEST Series is LIVE Now 🔴|| For Class-9th \u0026 10th Students @free,https://i.ytimg.com/vi/U09HORTeaB8/hqdefault.jpg,https://www.youtube.com/watch?v=U09HORTeaB8,49K views,5 days ago
ALERT 🚨 : OLYMPIAD EXAM Registration Open for 2023-2024 | Step by Step Procedure | NSO | IMO | SOF,https://i.ytimg.com/vi/eazPrtheE14/hqdefault.jpg,https://www.youtube.com/watch?v=eazPrtheE14,49K views,5 days ago
Offer Ending Soon 🤯 | Only Few Hours Left | #SapneDekhneKiAzaadi 🔥,https://i.ytimg.com/vi/luqdZrYnFOM/hqdefault.jpg,https://www.youtube.com/watch?v=luqdZrYnFOM,20K views,8 days ago
Upto 35% Off On All PW Batches 🔥 | Only 1 Day Left 🤯 #SapneDekhneKiAzaadi,https://i.ytimg.com/vi/YiBqvPi8Q1I/hqdefault.jpg,https://www.youtube.com/watch?v=YiBqvPi8Q1I,20K views,8 days ago
Happy 77th Independence Day 🇮🇳 | Check the Offers Now 🔥 #SapneDekhneKiAzaadi,https://i.ytimg.com/vi/mw9mLdN6ssA/hqdefault.jpg,https://www.youtube.com/watch?v=mw9mLdN6ssA,17K views,12 days ago
ARTS की दुनिया की PAHAL 🔥 || Launching Class 11th ARTS BATCH,https://i.ytimg.com/vi/LuTONVLzESM/hqdefault.jpg,https://www.youtube.com/watch?v=LuTONVLzESM,17K views,12 days ago
Something Big Coming Soon For Class - 9th \u0026 10th Students 🔥 || Stay Tuned For More Updates 🖋️,https://i.ytimg.com/vi/KWXKegvNa-I/hqdefault.jpg,https://www.youtube.com/watch?v=KWXKegvNa-I,12K views,12 days ago
Launching PAHAL Batch 🔥 For Class 11th Arts Students 💪,https://i.ytimg.com/vi/dArUpCasmnE/hqdefault.jpg,https://www.youtube.com/watch?v=dArUpCasmnE,12K views,12 days ago
Launching FUNDO For Class - 6th to 8th Students 🔥💯 || Ab Hoga Padhai Ke Sath FUN 🤩,https://i.ytimg.com/vi/HqG2QchBw8Y/hqdefault.jpg,https://www.youtube.com/watch?v=HqG2QchBw8Y,42K views,2 weeks ago
⚡Unleashing the Power of PW Internationally⚡| Launching Physics Wallah Gulf,https://i.ytimg.com/vi/1izKrQHyx9M/hqdefault.jpg,https://www.youtube.com/watch?v=1izKrQHyx9M,42K views,2 weeks ago
